名称,citycode
安源区,799
湘东区,799
莲花县,799
上栗县,799
芦溪县,799
九江市,792
九江市市辖区,792
濂溪区,792
浔阳区,792
柴桑区,792
武宁县,792
修水县,792
永修县,792
德安县,792
都昌县,792
湖口县,792
彭泽县,792
瑞昌市,792
共青城市,792
庐山市,792
新余市,790
新余市市辖区,790
渝水区,790
分宜县,790
鹰潭市,701
鹰潭市市辖区,701
月湖区,701
余江县,701
贵溪市,701
赣州市,797
赣州市市辖区,797
章贡区,797
南康区,797
赣县区,797
信丰县,797
大余县,797
上犹县,797
崇义县,797
安远县,797
龙南县,797
定南县,797
全南县,797
宁都县,797
于都县,797
兴国县,797
会昌县,797
寻乌县,797
石城县,797
瑞金市,797
吉安市,796
吉安市市辖区,796
吉州区,796
青原区,796
吉安县,796
吉水县,796
峡江县,796
新干县,796
永丰县,796
泰和县,796
遂川县,796
万安县,796
安福县,796
永新县,796
井冈山市,796
宜春市,795
宜春市市辖区,795
袁州区,795
奉新县,795
万载县,795
上高县,795
宜丰县,795
靖安县,795
铜鼓县,795
丰城市,795
樟树市,795
高安市,795
抚州市,794
抚州市市辖区,794
临川区,794
东乡区,794
南城县,794
黎川县,794
南丰县,794
崇仁县,794
乐安县,794
宜黄县,794
金溪县,794
资溪县,794
广昌县,794
上饶市,793
上饶市市辖区,793
信州区,793
广丰区,793
广信区,793
玉山县,793
铅山县,793
横峰县,793
弋阳县,793
余干县,793
鄱阳县,793
万年县,793
婺源县,793
德兴市,793
山东省,
济南市,531
济南市市辖区,531
历下区,531
市中区,531
槐荫区,531
天桥区,531
历城区,531
长清区,531
章丘区,531
平阴县,531
济阳县,531
商河县,531
青岛市,532
青岛市市辖区,532
市南区,532
市北区,532
黄岛区,532
崂山区,532
李沧区,532
城阳区,532
胶州市,532
即墨区,532
平度市,532
莱西市,532
淄博市,533
淄博市市辖区,533
淄川区,533
张店区,533
博山区,533
临淄区,533
周村区,533
桓台县,533
高青县,533
沂源县,533
枣庄市,632
枣庄市市辖区,632
市中区,632
薛城区,632
峄城区,632
台儿庄区,632
山亭区,632
滕州市,632
东营市,546
东营市市辖区,546
东营区,546
河口区,546
垦利区,546
利津县,546
广饶县,546
烟台市,535
烟台市市辖区,535
芝罘区,535
福山区,535
牟平区,535
莱山区,535
长岛县,535
龙口市,535
莱阳市,535
莱州市,535
蓬莱市,535
招远市,535
栖霞市,535
海阳市,535
潍坊市,536
潍坊市市辖区,536
潍城区,536
寒亭区,536
坊子区,536
奎文区,536
临朐县,536
昌乐县,536
青州市,536
诸城市,536
寿光市,536
安丘市,536
高密市,536
昌邑市,536
